分组,书名,排名,汉字,权重,基准拼音,拼音变体,全拼键位数,全拼最短,全拼最长,匹配状态,microsoft_基准码,microsoft_所有码,microsoft_覆盖,microsoft_异常读音,xiaohe_基准码,xiaohe_所有码,xiaohe_覆盖,xiaohe_异常读音
junda,Jun Da 现代汉语单字字频表,90,心,392228,xin,xin,3,3,3,ok,xn,xn,True,,xb,xb,True,
junda,Jun Da 现代汉语单字字频表,91,她,388612,ta,ta,2,2,2,ok,ta,ta,True,,ta,ta,True,
junda,Jun Da 现代汉语单字字频表,92,本,388118,ben,ben,3,3,3,ok,bf,bf,True,,bf,bf,True,
junda,Jun Da 现代汉语单字字频表,93,前,381431,qian,qian,4,4,4,ok,qm,qm,True,,qm,qm,True,
junda,Jun Da 现代汉语单字字频表,94,开,377012,kai,kai,3,3,3,ok,kl,kl,True,,kd,kd,True,
junda,Jun Da 现代汉语单字字频表,95,但,374459,dan,dan,3,3,3,ok,dj,dj,True,,dj,dj,True,
junda,Jun Da 现代汉语单字字频表,96,因,371612,yin,yin,3,3,3,ok,yn,yn,True,,yb,yb,True,
junda,Jun Da 现代汉语单字字频表,97,只,370059,qi,qi|zhi,2,2,3,ok,qi,qi|vi,True,,qi,qi|vi,True,
junda,Jun Da 现代汉语单字字频表,98,从,369958,cong,cong|zong,4,4,4,ok,cs,cs|zs,True,,cs,cs|zs,True,
junda,Jun Da 现代汉语单字字频表,99,想,368819,xiang,xiang,5,5,5,ok,xd,xd,True,,xl,xl,True,
junda,Jun Da 现代汉语单字字频表,100,实,368494,shi,shi,3,3,3,ok,ui,ui,True,,ui,ui,True,
junda,Jun Da 现代汉语单字字频表,101,日,363763,ri,ri,2,2,2,ok,ri,ri,True,,ri,ri,True,
junda,Jun Da 现代汉语单字字频表,102,军,362526,jun,jun,3,3,3,ok,jp,jp,True,,jy,jy,True,
junda,Jun Da 现代汉语单字字频表,103,者,360974,zhe,zhe,3,3,3,ok,ve,ve,True,,ve,ve,True,
junda,Jun Da 现代汉语单字字频表,104,意,360232,yi,yi,2,2,2,ok,yi,yi,True,,yi,yi,True,
junda,Jun Da 现代汉语单字字频表,105,无,359265,wu,wu,2,2,2,ok,wu,wu,True,,wu,wu,True,
junda,Jun Da 现代汉语单字字频表,106,力,359136,li,li,2,2,2,ok,li,li,True,,li,li,True,
junda,Jun Da 现代汉语单字字频表,107,它,346173,ta,ta,2,2,2,ok,ta,ta,True,,ta,ta,True,
junda,Jun Da 现代汉语单字字频表,108,与,345532,yu,yu,2,2,2,ok,yu,yu,True,,yu,yu,True,
junda,Jun Da 现代汉语单字字频表,109,长,342148,chang,chang|zhang,5,5,5,ok,ih,ih|vh,True,,ih,ih|vh,True,
junda,Jun Da 现代汉语单字字频表,110,把,340730,ba,ba,2,2,2,ok,ba,ba,True,,ba,ba,True,
junda,Jun Da 现代汉语单字字频表,111,机,339823,ji,ji,2,2,2,ok,ji,ji,True,,ji,ji,True,
junda,Jun Da 现代汉语单字字频表,112,十,338954,shi,shi,3,3,3,ok,ui,ui,True,,ui,ui,True,
junda,Jun Da 现代汉语单字字频表,113,民,335796,min,min,3,3,3,ok,mn,mn,True,,mb,mb,True,
junda,Jun Da 现代汉语单字字频表,114,第,325780,di,di,2,2,2,ok,di,di,True,,di,di,True,
junda,Jun Da 现代汉语单字字频表,115,公,318626,gong,gong,4,4,4,ok,gs,gs,True,,gs,gs,True,
junda,Jun Da 现代汉语单字字频表,116,此,318534,ci,ci,2,2,2,ok,ci,ci,True,,ci,ci,True,
junda,Jun Da 现代汉语单字字频表,117,已,318143,yi,yi,2,2,2,ok,yi,yi,True,,yi,yi,True,
junda,Jun Da 现代汉语单字字频表,118,工,317532,gong,gong,4,4,4,ok,gs,gs,True,,gs,gs,True,
junda,Jun Da 现代汉语单字字频表,119,使,316273,shi,shi,3,3,3,ok,ui,ui,True,,ui,ui,True,
junda,Jun Da 现代汉语单字字频表,120,情,312900,qing,qing,4,4,4,ok,q;,q;,True,,qk,qk,True,
junda,Jun Da 现代汉语单字字频表,121,明,309873,ming,ming,4,4,4,ok,m;,m;,True,,mk,mk,True,
junda,Jun Da 现代汉语单字字频表,122,性,309844,xing,xing,4,4,4,ok,x;,x;,True,,xk,xk,True,
junda,Jun Da 现代汉语单字字频表,123,知,306384,zhi,zhi,3,3,3,ok,vi,vi,True,,vi,vi,True,
junda,Jun Da 现代汉语单字字频表,124,全,305248,quan,quan,4,4,4,ok,qr,qr,True,,qr,qr,True,
junda,Jun Da 现代汉语单字字频表,125,三,304272,san,san,3,3,3,ok,sj,sj,True,,sj,sj,True,
junda,Jun Da 现代汉语单字字频表,126,又,302933,you,you,3,3,3,ok,yb,yb,True,,yz,yz,True,
junda,Jun Da 现代汉语单字字频表,127,关,302473,guan,guan,4,4,4,ok,gr,gr,True,,gr,gr,True,
junda,Jun Da 现代汉语单字字频表,128,点,300800,dian,dian,4,4,4,ok,dm,dm,True,,dm,dm,True,
junda,Jun Da 现代汉语单字字频表,129,正,296810,zheng,zheng,5,5,5,ok,vg,vg,True,,vg,vg,True,
junda,Jun Da 现代汉语单字字频表,130,业,296169,ye,ye,2,2,2,ok,ye,ye,True,,ye,ye,True,
junda,Jun Da 现代汉语单字字频表,131,外,295645,wai,wai,3,3,3,ok,wl,wl,True,,wd,wd,True,
junda,Jun Da 现代汉语单字字频表,132,将,295586,jiang,jiang,5,5,5,ok,jd,jd,True,,jl,jl,True,
junda,Jun Da 现代汉语单字字频表,133,两,294600,liang,liang,5,5,5,ok,ld,ld,True,,ll,ll,True,
junda,Jun Da 现代汉语单字字频表,134,高,293542,gao,gao,3,3,3,ok,gk,gk,True,,gc,gc,True,
junda,Jun Da 现代汉语单字字频表,135,间,292227,jian,jian,4,4,4,ok,jm,jm,True,,jm,jm,True,
junda,Jun Da 现代汉语单字字频表,136,由,292199,you,you,3,3,3,ok,yb,yb,True,,yz,yz,True,
junda,Jun Da 现代汉语单字字频表,137,问,288237,wen,wen,3,3,3,ok,wf,wf,True,,wf,wf,True,
junda,Jun Da 现代汉语单字字频表,138,很,284252,hen,hen,3,3,3,ok,hf,hf,True,,hf,hf,True,
junda,Jun Da 现代汉语单字字频表,139,最,283689,zui,zui,3,3,3,ok,zv,zv,True,,zv,zv,True,
junda,Jun Da 现代汉语单字字频表,140,重,282843,chong,chong|zhong,5,5,5,ok,is,is|vs,True,,is,is|vs,True,
junda,Jun Da 现代汉语单字字频表,141,并,281616,bing,bing,4,4,4,ok,b;,b;,True,,bk,bk,True,
junda,Jun Da 现代汉语单字字频表,142,物,281146,wu,wu,2,2,2,ok,wu,wu,True,,wu,wu,True,
junda,Jun Da 现代汉语单字字频表,143,手,280442,shou,shou,4,4,4,ok,ub,ub,True,,uz,uz,True,
junda,Jun Da 现代汉语单字字频表,144,应,280384,ying,ying,4,4,4,ok,y;,y;,True,,yk,yk,True,
junda,Jun Da 现代汉语单字字频表,145,战,278776,zhan,zhan,4,4,4,ok,vj,vj,True,,vj,vj,True,
junda,Jun Da 现代汉语单字字频表,146,向,276986,xiang,xiang,5,5,5,ok,xd,xd,True,,xl,xl,True,
junda,Jun Da 现代汉语单字字频表,147,头,274911,tou,tou,3,3,3,ok,tb,tb,True,,tz,tz,True,
junda,Jun Da 现代汉语单字字频表,148,文,274222,wen,wen,3,3,3,ok,wf,wf,True,,wf,wf,True,
junda,Jun Da 现代汉语单字字频表,149,体,273792,ti,ti,2,2,2,ok,ti,ti,True,,ti,ti,True,
junda,Jun Da 现代汉语单字字频表,150,政,269878,zheng,zheng,5,5,5,ok,vg,vg,True,,vg,vg,True,
junda,Jun Da 现代汉语单字字频表,151,美,269452,mei,mei,3,3,3,ok,mz,mz,True,,mw,mw,True,
junda,Jun Da 现代汉语单字字频表,152,相,269125,xiang,xiang,5,5,5,ok,xd,xd,True,,xl,xl,True,
junda,Jun Da 现代汉语单字字频表,153,见,269080,jian,jian|xian,4,4,4,ok,jm,jm|xm,True,,jm,jm|xm,True,
junda,Jun Da 现代汉语单字字频表,154,被,268905,bei,bei,3,3,3,ok,bz,bz,True,,bw,bw,True,
junda,Jun Da 现代汉语单字字频表,155,利,268813,li,li,2,2,2,ok,li,li,True,,li,li,True,
junda,Jun Da 现代汉语单字字频表,156,什,267869,shen,shen|shi,4,3,4,ok,uf,uf|ui,True,,uf,uf|ui,True,
junda,Jun Da 现代汉语单字字频表,157,二,267506,er,er,2,2,2,ok,or,or,True,,er,er,True,
junda,Jun Da 现代汉语单字字频表,158,等,266296,deng,deng,4,4,4,ok,dg,dg,True,,dg,dg,True,
junda,Jun Da 现代汉语单字字频表,159,产,265164,chan,chan,4,4,4,ok,ij,ij,True,,ij,ij,True,
junda,Jun Da 现代汉语单字字频表,160,或,260786,huo,huo,3,3,3,ok,ho,ho,True,,ho,ho,True,
junda,Jun Da 现代汉语单字字频表,161,新,253921,xin,xin,3,3,3,ok,xn,xn,True,,xb,xb,True,
junda,Jun Da 现代汉语单字字频表,162,己,250894,ji,ji,2,2,2,ok,ji,ji,True,,ji,ji,True,
junda,Jun Da 现代汉语单字字频表,163,制,250754,zhi,zhi,3,3,3,ok,vi,vi,True,,vi,vi,True,
junda,Jun Da 现代汉语单字字频表,164,身,249725,shen,shen,4,4,4,ok,uf,uf,True,,uf,uf,True,
junda,Jun Da 现代汉语单字字频表,165,果,246831,guo,guo,3,3,3,ok,go,go,True,,go,go,True,
junda,Jun Da 现代汉语单字字频表,166,加,243648,jia,jia,3,3,3,ok,jw,jw,True,,jx,jx,True,
junda,Jun Da 现代汉语单字字频表,167,西,243619,xi,xi,2,2,2,ok,xi,xi,True,,xi,xi,True,
junda,Jun Da 现代汉语单字字频表,168,斯,240900,si,si,2,2,2,ok,si,si,True,,si,si,True,
junda,Jun Da 现代汉语单字字频表,169,月,240566,yue,yue,3,3,3,ok,yt,yt,True,,yt,yt,True,
junda,Jun Da 现代汉语单字字频表,170,话,240067,hua,hua,3,3,3,ok,hw,hw,True,,hx,hx,True,
junda,Jun Da 现代汉语单字字频表,171,合,239277,ge,ge|he,2,2,2,ok,ge,ge|he,True,,ge,ge|he,True,
junda,Jun Da 现代汉语单字字频表,172,回,239243,hui,hui,3,3,3,ok,hv,hv,True,,hv,hv,True,
junda,Jun Da 现代汉语单字字频表,173,特,239091,te,te,2,2,2,ok,te,te,True,,te,te,True,
junda,Jun Da 现代汉语单字字频表,174,代,231734,dai,dai,3,3,3,ok,dl,dl,True,,dd,dd,True,
junda,Jun Da 现代汉语单字字频表,175,内,231331,nei,nei,3,3,3,ok,nz,nz,True,,nw,nw,True,
junda,Jun Da 现代汉语单字字频表,176,信,230248,xin,xin,3,3,3,ok,xn,xn,True,,xb,xb,True,
junda,Jun Da 现代汉语单字字频表,177,表,226768,biao,biao,4,4,4,ok,bc,bc,True,,bn,bn,True,
junda,Jun Da 现代汉语单字字频表,178,化,224729,hua,hua,3,3,3,ok,hw,hw,True,,hx,hx,True,
junda,Jun Da 现代汉语单字字频表,179,老,223050,lao,lao,3,3,3,ok,lk,lk,True,,lc,lc,True,
junda,Jun Da 现代汉语单字字频表,180,给,217815,gei,gei|ji,3,2,3,ok,gz,gz|ji,True,,gw,gw|ji,True,
junda,Jun Da 现代汉语单字字频表,181,世,214990,shi,shi,3,3,3,ok,ui,ui,True,,ui,ui,True,
junda,Jun Da 现代汉语单字字频表,182,位,214983,wei,wei,3,3,3,ok,wz,wz,True,,ww,ww,True,
junda,Jun Da 现代汉语单字字频表,183,次,214857,ci,ci,2,2,2,ok,ci,ci,True,,ci,ci,True,
junda,Jun Da 现代汉语单字字频表,184,度,214376,du,du,2,2,2,ok,du,du,True,,du,du,True,
junda,Jun Da 现代汉语单字字频表,185,门,212769,men,men,3,3,3,ok,mf,mf,True,,mf,mf,True,
junda,Jun Da 现代汉语单字字频表,186,任,212485,ren,ren,3,3,3,ok,rf,rf,True,,rf,rf,True,
junda,Jun Da 现代汉语单字字频表,187,常,212309,chang,chang,5,5,5,ok,ih,ih,True,,ih,ih,True,
junda,Jun Da 现代汉语单字字频表,188,先,210628,xian,xian,4,4,4,ok,xm,xm,True,,xm,xm,True,
junda,Jun Da 现代汉语单字字频表,189,海,209302,hai,hai,3,3,3,ok,hl,hl,True,,hd,hd,True,
junda,Jun Da 现代汉语单字字频表,190,通,209046,tong,tong,4,4,4,ok,ts,ts,True,,ts,ts,True,
junda,Jun Da 现代汉语单字字频表,191,教,208875,jiao,jiao,4,4,4,ok,jc,jc,True,,jn,jn,True,
junda,Jun Da 现代汉语单字字频表,192,儿,207827,er,er,2,2,2,ok,or,or,True,,er,er,True,
junda,Jun Da 现代汉语单字字频表,193,原,207579,yuan,yuan,4,4,4,ok,yr,yr,True,,yr,yr,True,
junda,Jun Da 现代汉语单字字频表,194,东,206238,dong,dong,4,4,4,ok,ds,ds,True,,ds,ds,True,
junda,Jun Da 现代汉语单字字频表,195,声,206083,sheng,sheng,5,5,5,ok,ug,ug,True,,ug,ug,True,
junda,Jun Da 现代汉语单字字频表,196,提,205159,di,di|ti,2,2,2,ok,di,di|ti,True,,di,di|ti,True,
junda,Jun Da 现代汉语单字字频表,197,立,204985,li,li,2,2,2,ok,li,li,True,,li,li,True,
junda,Jun Da 现代汉语单字字频表,198,及,202671,ji,ji,2,2,2,ok,ji,ji,True,,ji,ji,True,
junda,Jun Da 现代汉语单字字频表,199,比,200645,bi,bi,2,2,2,ok,bi,bi,True,,bi,bi,True,
junda,Jun Da 现代汉语单字字频表,200,员,200217,yuan,yuan,4,4,4,ok,yr,yr,True,,yr,yr,True,
junda,Jun Da 现代汉语单字字频表,201,解,200090,jie,jie|xie,3,3,3,ok,jx,jx|xx,True,,jp,jp|xp,True,
junda,Jun Da 现代汉语单字字频表,202,水,198933,shui,shui,4,4,4,ok,uv,uv,True,,uv,uv,True,
junda,Jun Da 现代汉语单字字频表,203,名,198481,ming,ming,4,4,4,ok,m;,m;,True,,mk,mk,True,
junda,Jun Da 现代汉语单字字频表,204,真,198416,zhen,zhen,4,4,4,ok,vf,vf,True,,vf,vf,True,
junda,Jun Da 现代汉语单字字频表,205,论,197165,lun,lun,3,3,3,ok,lp,lp,True,,ly,ly,True,
junda,Jun Da 现代汉语单字字频表,206,处,194237,chu,chu,3,3,3,ok,iu,iu,True,,iu,iu,True,
junda,Jun Da 现代汉语单字字频表,207,走,193619,zou,zou,3,3,3,ok,zb,zb,True,,zz,zz,True,
junda,Jun Da 现代汉语单字字频表,208,义,193507,yi,yi,2,2,2,ok,yi,yi,True,,yi,yi,True,
junda,Jun Da 现代汉语单字字频表,209,各,193435,ge,ge,2,2,2,ok,ge,ge,True,,ge,ge,True,
junda,Jun Da 现代汉语单字字频表,210,入,192433,ru,ru,2,2,2,ok,ru,ru,True,,ru,ru,True,
junda,Jun Da 现代汉语单字字频表,211,几,192355,ji,ji,2,2,2,ok,ji,ji,True,,ji,ji,True,
junda,Jun Da 现代汉语单字字频表,212,口,191936,kou,kou,3,3,3,ok,kb,kb,True,,kz,kz,True,
junda,Jun Da 现代汉语单字字频表,213,认,191866,ren,ren,3,3,3,ok,rf,rf,True,,rf,rf,True,
junda,Jun Da 现代汉语单字字频表,214,条,191280,tiao,tiao,4,4,4,ok,tc,tc,True,,tn,tn,True,
junda,Jun Da 现代汉语单字字频表,215,平,191267,ping,ping,4,4,4,ok,p;,p;,True,,pk,pk,True,
junda,Jun Da 现代汉语单字字频表,216,系,190769,xi,xi,2,2,2,ok,xi,xi,True,,xi,xi,True,
junda,Jun Da 现代汉语单字字频表,217,气,190687,qi,qi,2,2,2,ok,qi,qi,True,,qi,qi,True,
junda,Jun Da 现代汉语单字字频表,218,题,189921,ti,ti,2,2,2,ok,ti,ti,True,,ti,ti,True,
junda,Jun Da 现代汉语单字字频表,219,活,189876,huo,huo,3,3,3,ok,ho,ho,True,,ho,ho,True,
junda,Jun Da 现代汉语单字字频表,220,尔,189785,er,er,2,2,2,ok,or,or,True,,er,er,True,
junda,Jun Da 现代汉语单字字频表,221,更,187378,geng,geng,4,4,4,ok,gg,gg,True,,gg,gg,True,
junda,Jun Da 现代汉语单字字频表,222,别,186634,bie,bie,3,3,3,ok,bx,bx,True,,bp,bp,True,
junda,Jun Da 现代汉语单字字频表,223,打,186146,da,da,2,2,2,ok,da,da,True,,da,da,True,
junda,Jun Da 现代汉语单字字频表,224,女,185188,nv,nv,2,2,2,ok,nv,nv,True,,nv,nv,True,
junda,Jun Da 现代汉语单字字频表,225,变,185121,bian,bian,4,4,4,ok,bm,bm,True,,bm,bm,True,
junda,Jun Da 现代汉语单字字频表,226,四,184874,si,si,2,2,2,ok,si,si,True,,si,si,True,
